English,Arabic
club,النادي
Niles,نايلز
suppose,افترض
calm,هادئ
imagine,يتصور
Todd,تود
fair,عدل
B.,ب.
blame,إلقاء اللوم على
street,شارع
sitting,الجلوس
favor,محاباة
apartment,شقة
court,المحكمة
terrible,كريه
clean,ينظف
Tony or tony,توني أو توني
learn,يتعلم
Alison,أليسون
Rick,ريك
works,يعمل
Rose or rose,وردة أو روز
Frasier,فريزر
relax,يستريح
York,يورك
million,مليون
charity,الاعمال الخيرية
accident,حادثة
wake,استيقظ
prove,إثبات
Danny,داني
smart,ذكي
message,رسالة
missing,مفقود
forgot,نسيت
small,صغير
interested,يستفد
table,الطاولة
nbsp,NBSP
become,أصبح
Craig,كريج
mouth,فم
middle,وسط
Billy or billy,بيلي أو بيلي
ring,حلقة
careful,حذر
shall,يجب
dude,يا صديق
team,فريق
ride,اركب
figured,أحسب
wear,البس، ارتداء
shoot,أطلق النار
stick,عصا
Ray or ray,راي أو راي
follow,إتبع
Bo,بو
angry,غاضب
instead,بدلا منه
buddy,صاحب
write,اكتب
stopped,توقفت
early,مبكرا
Angel or angel,ملاك أو ملاك
Nick or nick,نيك أو نيك
ran,جرى
war,حرب
standing,الوقوف
forgive,سامح
jail,سجن
wearing,يلبس
Miguel,ميغيل
ladies,سيداتي
kinda,كيندا
lunch,غداء
Cristian,كريستيان
eight,ثمانية
Greenlee,غرينلي
gotten,حصلت
hoping,يأمل
Phoebe,فيبي
thousand,ألف
ridge,التلال
music,موسيقى
Luke,لوقا
paper,ورق
tough,قاسٍ
tape,شريط
Emily,إميلي
count,عدد
college,كلية
boyfriend,حبيب
proud,فخور
agree,يوافق على
birthday,عيد الميلاد
bill,فاتورة
seven,سبعة
they've,لديهم
Timmy,تيمي
history,التاريخ
share,شارك
hurry,عجل
ow,آه
feet,أقدام
wondering,أتساءل
simple,بسيط
decision,قرار
building,بناء
ones,تلك
finish,إنهاء
voice,صوت بشري
herself,نفسها
Chris,كريس
would've,سوف
list,قائمة
Kay,كاي
mess,تعبث
deserve,استحق
evidence,دليل
cute,فاتن
Jerry,جيري
dress,فستان
Richard,ريتشارد
interesting,مثير للإعجاب
Jesus,عيسى
James,جوامع
hotel,الفندق
enjoy,التمتع
Ryan,ريان
Lindsay,ليندساي
quiet,هادئ
concerned,قلقان
road,طريق
Eve or eve,حواء أو حواء
staying,البقاء
short,قصيرة
M,م
beat,ضربة
sweetie,الحبيبة
mention,يذكر
clothes,ملابس
finished,تم الانتهاء من
fell,سقط
neither,لا هذا ولا ذاك
mmm,ط ط ط
fix,يصلح
Victor or victor,فيكتور أو فيكتور
respect,احترام
spent,أنفق
prison,السجن
attention,الانتباه
holding,تحتجز
calls,المكالمات
near,قرب
surprised,فوجئ
bar,شريط
Beth,بيث
pass,يمر
keeping,حفظ
gift,هدية مجانية
hadn't,لم يفعل
putting,وضع
dark,ظلام
self,الذات
owe,مدينون
using,استخدام
Nora,نورا
ice,جليد
helping,المساعدة
bitch,عاهرة
normal,عادي
aunt,عمة
lawyer,محامي
apart,بعيدا، بمعزل، على حد
certain,تأكيد
plans,خطط
Jax,جاكس
girlfriend,صديقة
floor,أرضية
whether,سواء، ما اذا
everything's,كل شيء
present,الحالي
earth,الارض
private,خاص
Jessica,جيسيكا
box,علبة
Dawson,داوسون
cover,التغطية
judge,القاضي
upstairs,الطابق العلوي
Alexis,الكسيس
Shawn,شون
sake,مصلحة
mommy,أمي
possibly,ربما
worst,أسوأ
